altitude,xaccel,yaccel,zaccel,elevator,aileron,rudder
1004.1977,149.2084,391.1666,331.408,0.0119,-0.077,0.0
1004.2288,158.9108,392.4465,326.6827,0.0114,-0.0798,0.0
1004.2599,168.3095,393.571,321.9342,0.011,-0.0824,0.0
1004.2909,177.4075,394.5432,317.1651,0.0106,-0.0851,0.0
1004.3219,186.2076,395.3661,312.3783,0.0102,-0.0877,0.0
1004.3529,194.7128,396.0426,307.5762,0.0098,-0.0903,0.0
1004.3837,202.9264,396.5755,302.7613,0.0095,-0.0929,0.0
1004.4146,210.8516,396.9675,297.9362,0.0091,-0.0954,0.0
1004.4454,218.4918,397.2214,293.1029,0.0088,-0.0979,0.0
1004.4761,225.8504,397.3396,288.2638,0.0085,-0.1004,0.0
1004.5068,232.9309,397.3247,283.4208,0.0082,-0.1028,0.0
1004.5374,239.737,397.1791,278.5761,0.008,-0.1052,0.0
1004.568,246.2723,396.9053,273.7315,0.0077,-0.1075,0.0
1004.5985,252.5407,396.5055,268.8888,0.0075,-0.1099,0.0
1004.629,258.5458,395.9821,264.0498,0.0073,-0.1121,0.0
1004.6594,264.2915,395.3372,259.216,0.0071,-0.1144,0.0
1004.6897,269.7817,394.573,254.3891,0.007,-0.1166,0.0
1004.72,275.0204,393.6915,249.5706,0.0068,-0.1188,0.0
1004.7502,280.0115,392.695,244.7617,0.0067,-0.1209,0.0
1004.7804,284.7589,391.5854,239.9639,0.0066,-0.123,0.0
1004.8104,289.2667,390.3647,235.1785,0.0065,-0.125,0.0
1004.8404,293.5389,389.0348,230.4065,0.0065,-0.127,0.0
1004.8704,297.5795,387.5978,225.6491,0.0064,-0.129,0.0
1004.9002,301.3925,386.0554,220.9073,0.0064,-0.131,0.0
1004.93,304.9821,384.4095,216.1821,0.0064,-0.1328,0.0
1004.9597,308.3522,382.662,211.4744,0.0064,-0.1347,0.0
1004.9894,311.5069,380.8147,206.785,0.0064,-0.1365,0.0
1005.0189,314.4502,378.8693,202.1148,0.0065,-0.1383,0.0
1005.0484,317.1861,376.8277,197.4645,0.0065,-0.14,0.0
1005.0778,319.7186,374.6916,192.8348,0.0066,-0.1417,0.0
1005.1071,322.0517,372.4628,188.2262,0.0067,-0.1434,0.0
1005.1364,324.1894,370.1429,183.6395,0.0068,-0.145,0.0
1005.1655,326.1356,367.7336,179.075,0.0069,-0.1466,0.0
1005.1946,327.8941,365.2368,174.5333,0.0071,-0.1481,0.0
1005.2236,329.469,362.654,170.0149,0.0072,-0.1496,0.0
1005.2525,330.864,359.987,165.52,0.0074,-0.151,0.0
